unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,taxi_pick_up_location
34435090,2016-09-29T22:55:46.000,2016-09-29T23:38:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,48 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST 152 STREET,WEST 153 STREET,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:55:46.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-29T23:38:06.000,09 MANHATTAN,MANHATTAN,1000491,241215,Unspecified,MANHATTAN,40.828739994045264,-73.9413142812716,"{'type': 'Point', 'coordinates': [-73.9413142812716, 40.828739994045264]}",,,
34431207,2016-09-29T22:55:24.000,2017-07-25T13:49:00.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11358,42-28 190 STREET,190 STREET,42 AVENUE,NORTHERN BOULEVARD,ADDRESS,FLUSHING,N/A,Closed,2017-04-18T15:00:08.000,The Department of Parks and Recreation performed the work necessary to correct the condition.,2017-07-25T13:49:00.000,11 QUEENS,QUEENS,1042049,215788,Unspecified,QUEENS,40.75877576734029,-73.79136654641991,"{'type': 'Point', 'coordinates': [-73.79136654641991, 40.75877576734029]}",,,
34434184,2016-09-29T22:55:02.000,2016-09-30T01:43:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,15 WEST 9 STREET,WEST 9 STREET,5 AVENUE,BEND,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:55:02.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T01:43:32.000,02 MANHATTAN,MANHATTAN,985168,206394,Unspecified,MANHATTAN,40.7331804692419,-73.9966876284845,"{'type': 'Point', 'coordinates': [-73.9966876284845, 40.7331804692419]}",,,
34433975,2016-09-29T22:54:58.000,2016-09-30T06:50:34.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11210,1065 EAST 39 STREET,EAST 39 STREET,DEAD END,AVENUE I,ADDRESS,BROOKLYN,Precinct,Closed,2016-09-30T06:54:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T06:50:34.000,18 BROOKLYN,BROOKLYN,1001252,169106,Unspecified,BROOKLYN,40.63081713619092,-73.93874666185498,"{'type': 'Point', 'coordinates': [-73.93874666185498, 40.63081713619092]}",,,
34433899,2016-09-29T22:54:46.000,2016-10-06T20:29:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2016-10-06T20:29:31.000,03 MANHATTAN,MANHATTAN,987277,202709,Unspecified,MANHATTAN,40.72306557278975,-73.98907949147022,"{'type': 'Point', 'coordinates': [-73.98907949147022, 40.72306557278975]}",,,
34436670,2016-09-29T22:54:46.000,2016-10-02T10:06:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2016-10-02T10:06:42.000,03 MANHATTAN,MANHATTAN,987277,202709,Unspecified,MANHATTAN,40.72306557278975,-73.98907949147022,"{'type': 'Point', 'coordinates': [-73.98907949147022, 40.72306557278975]}",,,
34430053,2016-09-29T22:54:46.000,2016-10-02T10:06:42.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2016-10-02T10:06:42.000,03 MANHATTAN,MANHATTAN,987277,202709,Unspecified,MANHATTAN,40.72306557278975,-73.98907949147022,"{'type': 'Point', 'coordinates': [-73.98907949147022, 40.72306557278975]}",,,
34431841,2016-09-29T22:54:46.000,2016-10-06T20:29:32.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2016-10-06T20:29:32.000,03 MANHATTAN,MANHATTAN,987277,202709,Unspecified,MANHATTAN,40.72306557278975,-73.98907949147022,"{'type': 'Point', 'coordinates': [-73.98907949147022, 40.72306557278975]}",,,
34430056,2016-09-29T22:54:46.000,2016-10-06T20:29:32.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2016-10-06T20:29:32.000,03 MANHATTAN,MANHATTAN,987277,202709,Unspecified,MANHATTAN,40.72306557278975,-73.98907949147022,"{'type': 'Point', 'coordinates': [-73.98907949147022, 40.72306557278975]}",,,
34433849,2016-09-29T22:54:46.000,2016-10-06T20:29:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10002,159 EAST HOUSTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2016-10-06T20:29:31.000,03 MANHATTAN,MANHATTAN,987277,202709,Unspecified,MANHATTAN,40.72306557278975,-73.98907949147022,"{'type': 'Point', 'coordinates': [-73.98907949147022, 40.72306557278975]}",,,
34432255,2016-09-29T22:54:31.000,2016-09-29T22:59:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11209,138 71 STREET,71 STREET,RIDGECREST TERRACE,PERRY TERRACE,ADDRESS,BROOKLYN,Precinct,Closed,2016-09-30T06:54:31.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2016-09-29T22:59:25.000,10 BROOKLYN,BROOKLYN,975627,170710,Unspecified,BROOKLYN,40.63523189514374,-74.03106825346349,"{'type': 'Point', 'coordinates': [-74.03106825346349, 40.63523189514374]}",,,
34436870,2016-09-29T22:54:14.000,2016-09-30T03:49:54.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11691,155A BEACH 27 STREET,BEACH 27 STREET,BOARDWALK,SEAGIRT AVENUE,ADDRESS,FAR ROCKAWAY,Precinct,Closed,2016-09-30T06:54:14.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T03:49:54.000,14 QUEENS,QUEENS,1050916,155757,Unspecified,QUEENS,40.593942478233544,-73.75995384139489,"{'type': 'Point', 'coordinates': [-73.75995384139489, 40.593942478233544]}",,,
34435136,2016-09-29T22:54:10.000,2016-09-30T04:55:43.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10030,2273 7 AVENUE,7 AVENUE,WEST 133 STREET,WEST 134 STREET,ADDRESS,NEW YORK,Precinct,Closed,2016-09-30T06:54:10.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2016-09-30T04:55:43.000,10 MANHATTAN,MANHATTAN,999660,236000,Unspecified,MANHATTAN,40.81442778495756,-73.94432901689623,"{'type': 'Point', 'coordinates': [-73.94432901689623, 40.81442778495756]}",,,
